"","Agrupamento_Decreto","Agrupamento Geral","Tipo Função Detalhada2","Subnível Função2"
"1","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"2","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"3","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"4","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"5","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"6","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"7","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"8","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"9","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"10","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"11","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"12","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"13","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"14","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"15","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"16","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"17","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"18","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"19","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"20","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"21","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"22","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"23","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"24","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"25","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"26","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"27","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"28","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"29","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"30","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"31","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
